,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
0, Венчурные инвестиции и технологическое предпринимательство,МФТИ,Москва,Управление в технических системах,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12137-venchurnye-investitsii-i-tekhnologicheskoe-predprinimatelstvo/info/
1, Маркетинг,СФУ,Красноярск,Экономика и управление,магистратура,русский,2 года                                            ,очная,есть,160316,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/261985-marketing/info/
2," Математическое моделирование, численные методы и комплексы программ (Математическое моделирование нелинейных задач в физике и технике)",МИФИ,Москва,Информатика и вычислительная техника,аспирантура,"русский, английский",4 года                                            ,очная,есть,325000,Москва ,https://studyinrussia.ru/study-in-russia/programs/29644-matematicheskoe-modelirovanie-chislennye-metody-i-kompleksy-programm/info/
3, Управляемый термоядерный синтез и плазменные технологии (на английском языке),МИФИ,Москва,Ядерная энергетика и технологии,бакалавриат,английский,4 года                                            ,очная,есть,148300,Москва ,https://studyinrussia.ru/study-in-russia/programs/134151-fizika-plazmy-i-plazmennye-tekhnologii/info/
4, Физика,БФУ,Калининград,Физика и астрономия,бакалавриат,русский,4 года                                            ,очная,есть,2250,Калининград ,https://studyinrussia.ru/study-in-russia/programs/282410-fizika/info/
5, Физика конденсированных сред и функциональных наноструктур (на английском языке),СПбПУ,Санкт-Петербург,Физико-технические науки и технологии,магистратура,английский,2 года                                            ,очная,есть,305000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/285035-fizika-kondensirovannykh-sred-i-funktsionalnykh-nanostruktur-na-angliyskom-yazyke/info/
6,Aerospace engineering,МФТИ,Москва,Физико-технические науки и технологии,бакалавриат,английский,4 года                                            ,очная,нет,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/178454-aerospace-engineering/info/
7,Art and Science: Искусство. Дизайн. Технологии,ТГУ,Томск,Изобразительное и прикладные виды искусств,магистратура,русский,2 года                                            ,очная,нет,327600,Томск ,https://studyinrussia.ru/study-in-russia/programs/10865-graficheskiy-dizayn/info/
8,BIM технологии в инвестиционно-строительных проектах,РУДН,Москва,Архитектура,,английский,72 часа                                            ,очная,нет,690,Москва ,https://studyinrussia.ru/study-in-russia/programs/262933-bim-tekhnologii-v-investitsionnostroitelnykh-proektakh/info/
9,Biomedical engineering,МФТИ,Москва,Промышленная экология и биотехнологии,бакалавриат,английский,4 года                                            ,очная,нет,400000,Москва ,https://studyinrussia.ru/study-in-russia/programs/178463-biomedical-engineering/info/
